OrderID,OrderDate,ShipMode,CustomerSegment,Country,State,City,Region,Category,SubCategory,Quantity,UnitPrice,Discount,Unit_Cost
S1-100000,31/07/2022,Standard Class,Consumer,United States,Arizona,Mesa,West,Technology,Copiers,4,610.11,0.1,350.565
S1-100001,09/05/2022,Second Class,Consumer,United States,Florida,Tallahassee,South,Office Supplies,Labels,1,445.89,0,378.24
S1-100002,13/04/2023,Second Class,Corporate,United States,Arizona,Tucson,West,Technology,Machines,1,376.04,0,243.03
S1-100003,22/05/2023,Second Class,Consumer,United States,Arizona,Scottsdale,West,Furniture,Tables,1,108.29,0,72.35
S1-100004,22/04/2022,Standard Class,Corporate,United States,Washington,Everett,West,Technology,Accessories,4,313.05,0,251.9275
S1-100005,31/10/2021,Standard Class,Corporate,United States,Texas,Houston,Central,Technology,Copiers,4,369.84,0,237.415
S1-100006,12/09/2022,Standard Class,Corporate,United States,Colorado,Boulder,West,Office Supplies,Art,3,449.57,0,273.9
S1-100007,26/07/2023,Second Class,Consumer,United States,New York,Rochester,East,Technology,Phones,2,238.41,0,182.885
S1-100008,27/04/2021,Standard Class,Consumer,United States,Colorado,Boulder,West,Technology,Phones,1,579.28,0,375.59
S1-100009,19/01/2023,Same Day,Consumer,United States,Texas,San Antonio,Central,Office Supplies,Binders,3,292.64,0,185.9433333
S1-100010,13/10/2021,First Class,Corporate,United States,Massachusetts,Springfield,East,Furniture,Furnishings,3,362.24,0,227.82
S1-100011,23/05/2022,Second Class,Consumer,United States,Washington,Spokane,West,Furniture,Bookcases,4,608.02,0.1,399.265
S1-100012,16/07/2021,Standard Class,Consumer,United States,Illinois,Joliet,Central,Furniture,Tables,2,267.24,0,168.635
S1-100013,19/11/2021,Standard Class,Corporate,United States,Texas,Fort Worth,Central,Office Supplies,Binders,1,767.05,0,640.35
S1-100014,04/06/2023,Standard Class,Consumer,United States,Washington,Tacoma,West,Technology,Copiers,2,268.6,0,196.525
S1-100015,31/12/2022,Second Class,Consumer,United States,Nevada,Sparks,West,Furniture,Bookcases,3,228.58,0,187
S1-100016,22/08/2022,Same Day,Corporate,United States,Texas,Fort Worth,Central,Furniture,Chairs,2,664.68,0.1,415.84
S1-100017,07/08/2022,Second Class,Consumer,United States,New York,Rochester,East,Furniture,Furnishings,1,350.9,0.3,213.08
S1-100018,03/01/2022,Standard Class,Corporate,United States,Nevada,Sparks,West,Office Supplies,Binders,3,302.06,0,248.91
S1-100019,29/03/2023,Standard Class,Consumer,United States,Massachusetts,Cambridge,East,Furniture,Furnishings,1,481.51,0.2,253.83
S1-100020,10/07/2021,Standard Class,Consumer,United States,Arizona,Scottsdale,West,Office Supplies,Paper,1,109.8,0,69.89
S1-100021,03/04/2021,Standard Class,Corporate,United States,Colorado,Boulder,West,Furniture,Furnishings,3,109.19,0,95.89666667
S1-100022,18/11/2023,Standard Class,Consumer,United States,Florida,Tampa,South,Office Supplies,Labels,4,24.76,0,19.565
S1-100023,20/03/2023,Standard Class,Home Office,United States,Texas,Austin,Central,Technology,Copiers,4,376.57,0.1,205.16
S1-100024,19/10/2023,Standard Class,Corporate,United States,Nevada,North Las Vegas,West,Furniture,Bookcases,4,484.47,0,345.0675
S1-100025,26/12/2023,Standard Class,Consumer,United States,Colorado,Aurora,West,Office Supplies,Binders,3,654.17,0,405.5633333
S1-100026,18/10/2022,Standard Class,Home Office,United States,Texas,Fort Worth,Central,Furniture,Chairs,1,231.35,0,146.83
S1-100027,30/05/2023,First Class,Corporate,United States,California,Los Angeles,West,Furniture,Bookcases,2,257.8,0,222.355
S1-100028,05/11/2023,Standard Class,Corporate,United States,California,Los Angeles,West,Furniture,Chairs,2,44.16,0,33.435
S1-100029,27/05/2023,Second Class,Corporate,United States,Nevada,Las Vegas,West,Technology,Phones,4,783.76,0.1,588.18
S1-100030,02/07/2023,Standard Class,Home Office,United States,Arizona,Phoenix,West,Office Supplies,Storage,2,311.15,0,211.565
S1-100031,18/03/2023,First Class,Consumer,United States,Washington,Tacoma,West,Furniture,Tables,2,306.67,0,211.315
S1-100032,20/06/2022,Standard Class,Corporate,United States,Massachusetts,Worcester,East,Furniture,Bookcases,3,644.49,0,509.0666667
S1-100033,09/11/2023,First Class,Consumer,United States,Arizona,Tucson,West,Technology,Machines,3,80.6,0.1,45.36333333
S1-100034,28/12/2023,Standard Class,Corporate,United States,Texas,Fort Worth,Central,Technology,Copiers,4,757.09,0,588.275
